Date,Open,High,Low,Close,Volume
1984-01-04,16.3211,16.3211,16.3211,16.3211,27613
1984-01-05,16.2487,16.2487,16.2487,16.2487,73200
1984-01-06,16.2487,16.3211,16.2487,16.3211,11720
1984-01-09,16.3211,16.3211,16.3211,16.3211,675
1984-01-10,16.3211,16.3211,16.2487,16.3211,5500
1984-01-11,16.3211,16.3211,16.3211,16.3211,44181
1984-01-12,16.3211,16.3211,16.3211,16.3211,25532
1984-01-13,16.3211,16.3211,16.3211,16.3211,13790
1984-01-16,16.3211,16.3211,16.3211,16.3211,5500
1984-01-17,16.3211,16.3211,16.2487,16.3211,8256
1984-01-18,16.3211,16.4658,16.3211,16.4658,51087
1984-01-19,16.3935,16.3935,16.3935,16.3935,2734
1984-01-20,16.3935,16.3935,16.3935,16.3935,8256
1984-01-23,16.4658,16.4658,16.4658,16.4658,5500
1984-01-25,16.4658,16.4658,16.4658,16.4658,11012
1984-01-26,16.4658,16.5382,16.4658,16.5382,19313
1984-01-30,16.3935,16.3935,16.3935,16.3935,5500
1984-01-31,16.4658,16.4658,16.4658,16.4658,6884
1984-02-01,16.4658,16.4658,16.4658,16.4658,2734
1984-02-02,16.5382,16.5382,16.5382,16.5382,2734
1984-02-06,16.5382,16.5382,16.5382,16.5382,1350
1984-02-07,16.5382,16.7553,16.5382,16.7553,26219
1984-02-08,16.8277,17.0449,16.8277,17.0449,44181
1984-02-09,17.0449,17.0449,16.9725,17.0449,37275
1984-02-10,16.9725,16.9725,16.9725,16.9725,1078
1984-02-13,16.9725,17.0449,16.9725,17.0449,6884
1984-02-14,16.1401,16.1401,16.1401,16.1401,2734
1984-02-17,16.1401,16.1401,16.1401,16.1401,9629
1984-02-20,16.1401,16.1401,16.1401,16.1401,55226
1984-02-21,16.1401,16.1401,16.1401,16.1401,33125
1984-02-22,16.1401,16.1401,16.1401,16.1401,30380
1984-02-23,16.1401,16.1401,16.0678,16.1401,6884
1984-02-24,16.1401,16.1401,16.1401,16.1401,5500
1984-02-28,16.1401,16.1401,16.0678,16.0678,5500
1984-02-29,16.1401,16.1401,16.1401,16.1401,1350
1984-03-01,16.1401,16.1401,16.0678,16.0678,6884
1984-03-06,15.9954,15.9954,15.9954,15.9954,7581
1984-03-07,15.9954,15.9954,15.9954,15.9954,6176
1984-03-08,15.9954,15.9954,15.923,15.9954,42906
1984-03-09,15.9954,16.0678,15.9954,16.0678,22079
1984-03-13,16.0678,16.0678,16.0678,16.0678,4128
1984-03-14,16.1401,16.1401,16.1401,16.1401,1350
1984-03-15,16.1401,16.1401,16.1401,16.1401,4128
1984-03-20,16.1401,16.1401,16.1401,16.1401,2734
1984-03-22,16.1401,16.1401,16.1401,16.1401,9629
1984-03-23,16.1401,16.1401,16.1401,16.1401,1350
1984-03-26,16.1401,16.1401,16.1401,16.1401,15184
1984-03-27,16.1401,16.1401,16.1401,16.1401,773
1984-03-28,16.1401,16.2125,16.1401,16.1401,11012
1984-03-29,16.1401,16.2125,16.1401,16.1401,63516
1984-04-02,16.1401,16.1401,16.1401,16.1401,41403
1984-04-03,16.1401,16.1401,16.1401,16.1401,2734
1984-04-04,16.1401,16.1401,16.1401,16.1401,13790
1984-04-05,16.1401,16.1401,16.1401,16.1401,3409
1984-04-10,16.1401,16.1401,16.0678,16.0678,33125
1984-04-11,16.0678,16.0678,16.0678,16.0678,8953
1984-04-16,16.1401,16.2125,16.1401,16.2125,33811
1984-04-18,16.1401,16.1401,16.1401,16.1401,675
1984-04-20,16.2125,16.2849,16.2125,16.2849,2734
1984-04-23,16.2125,16.2125,16.1401,16.1401,4727
1984-04-24,16.2125,16.2849,16.2125,16.2849,40031
1984-04-25,16.2849,16.2849,16.2849,16.2849,23593
1984-04-26,16.2849,16.6468,16.2849,16.5744,41403
1984-04-27,16.5744,16.5744,16.5744,16.5744,27613
1984-04-30,16.5744,16.5744,16.5744,16.5744,2734
